id,age,score_note
415,25,good
416,62,average
417,38,average
418,55,good
419,47,excellent
420,25,good
421,76,excellent
422,44,good
423,54,average
424,76,excellent
425,75,poor
426,29,average
427,19,excellent
428,78,excellent
429,33,average
430,56,excellent
431,51,average
432,21,good
433,73,good
434,41,excellent
435,42,excellent
436,56,good
437,35,excellent
438,73,average
439,19,average
440,50,poor
441,62,poor
442,58,poor
443,53,good
444,46,average
445,48,excellent
446,45,poor
447,51,excellent
448,41,poor
449,25,average
450,19,poor
451,38,average
452,55,excellent
453,32,excellent
454,34,poor
455,85,good
456,31,good
457,18,excellent
458,55,poor
459,48,excellent
460,30,poor
461,82,excellent
462,34,good
463,41,poor
464,42,excellent
465,50,good
466,46,good
467,78,good
468,35,good
469,77,average
470,71,poor
471,59,good
472,46,average
473,23,excellent
474,28,poor
475,32,poor
476,64,poor
477,50,good
478,53,good
479,32,excellent
480,65,good
481,58,poor
482,78,poor
483,85,excellent
484,73,average
485,49,excellent
486,21,good
487,75,poor
488,59,average
489,72,poor
490,19,average
491,41,excellent
492,69,excellent
493,80,excellent
494,67,good
495,18,good
496,27,average
497,69,average
498,52,good
499,48,poor
500,58,poor
501,50,average
502,40,average
503,33,excellent
504,20,poor
505,85,poor
506,71,poor
507,33,poor
508,75,poor
509,69,poor
510,51,excellent
511,33,average
512,74,good
513,22,average
514,45,average
515,46,excellent
516,23,excellent
517,47,poor
518,33,excellent
519,74,average
520,50,poor
521,64,poor
522,47,poor
523,23,average
524,68,excellent
525,47,average
526,18,good
527,29,poor
528,43,excellent
529,24,average
530,18,poor
531,50,excellent
532,51,good
533,46,average
534,84,good
535,81,average
536,40,average
537,24,excellent
538,56,excellent
539,29,excellent
540,74,good
541,76,poor
542,78,poor
543,47,good
544,23,good
545,54,good
546,44,poor
547,42,good
548,36,good
549,66,average
550,42,average
551,27,poor
552,59,good
553,33,good
554,79,poor
555,22,excellent
556,21,poor
557,50,poor
558,60,excellent
559,72,poor
560,72,good
561,56,poor
562,52,average
563,72,good
564,34,poor
565,55,excellent
566,52,average
567,32,average
568,28,average
569,68,excellent
570,28,good
571,18,good
572,83,average
573,43,excellent
574,47,excellent
575,38,average
576,54,poor
577,50,excellent
578,61,excellent
579,38,average
580,72,poor
581,20,excellent
582,52,average
583,64,good
584,30,good
585,69,average
586,27,average
587,68,poor
588,66,excellent
589,63,poor
590,71,excellent
591,31,excellent
592,52,good
593,51,good
594,80,excellent
595,81,good
596,84,good
597,55,average
598,29,poor
599,70,average
600,65,good
601,63,poor
602,32,average
603,77,good
604,33,excellent
605,19,excellent
606,32,good
607,28,excellent
608,60,excellent
609,51,excellent
610,47,average
611,39,good
612,69,poor
613,46,good
614,73,good
615,84,good
616,67,good
617,78,poor
618,59,poor
619,45,poor
620,33,excellent
621,84,good
622,19,poor
623,65,good
624,40,excellent
625,26,poor
626,73,average
627,62,average
628,26,average
629,26,poor
630,72,good
631,47,poor
632,83,average
633,41,average
634,75,poor
635,57,poor
636,20,excellent
637,85,average
638,63,poor
639,32,average
640,76,good
641,59,poor
642,33,good
643,61,good
644,74,excellent
645,82,excellent
646,27,good
647,57,excellent
648,52,average
649,34,excellent
650,31,good
651,63,excellent
652,43,excellent
653,38,poor
654,67,excellent
655,27,good
656,38,average
657,29,excellent
658,30,good
659,60,average
660,50,good
661,46,excellent
662,62,good
663,84,poor
664,31,excellent
665,26,poor
666,53,excellent
667,18,good
668,68,excellent
669,77,excellent
670,85,average
671,57,average
672,48,excellent
673,25,good
674,79,poor
675,38,good
676,58,poor
677,51,average
678,60,excellent
679,78,excellent
680,30,average
681,26,poor
682,36,average
683,20,poor
684,60,good
685,20,poor
686,24,poor
687,57,poor
688,35,good
689,45,good
690,73,good
691,71,average
692,55,poor
693,72,excellent
694,31,good
695,42,poor
696,41,poor
697,46,excellent
698,52,average
699,30,poor
700,39,poor
701,77,excellent
702,63,poor
703,43,good
704,76,good
705,25,good
706,31,excellent
707,49,excellent
708,41,good
709,33,good
710,39,excellent
711,85,poor
712,65,poor
713,63,average
714,52,good
715,51,excellent
716,73,good
717,47,excellent
718,54,average
719,32,excellent
720,55,excellent
721,44,poor
722,77,excellent
723,30,poor
724,26,good
725,19,good
726,47,good
727,31,excellent
728,32,poor
729,19,poor
730,53,good
731,79,good
732,59,good
733,72,excellent
734,63,excellent
735,73,good
736,29,average
737,40,excellent
738,76,poor
739,48,excellent
740,28,excellent
741,46,poor
742,35,excellent
743,52,excellent
744,84,poor
745,35,poor
746,56,average
747,22,excellent
748,72,poor
749,19,poor
750,63,excellent
751,31,good
752,55,average
753,50,average
754,33,poor
755,54,excellent
756,66,average
757,28,good
758,75,excellent
759,77,good
760,25,good
761,49,excellent
762,29,good
763,65,excellent
764,60,poor
765,28,good
766,56,average
767,41,excellent
768,31,average
769,74,poor
770,60,excellent
771,40,excellent
772,71,excellent
773,39,average
774,65,excellent
775,68,good
776,23,poor
777,63,average
778,34,average
779,49,good
780,58,poor
781,85,excellent
782,45,excellent
783,64,poor
784,38,good
785,37,poor
786,42,poor
787,63,average
788,77,good
789,51,average
790,19,excellent
791,68,poor
792,51,excellent
793,40,poor
794,35,excellent
795,33,excellent
796,72,average
797,28,excellent
798,43,average
799,28,poor
800,69,poor
801,80,average
802,64,average
803,51,average
804,46,good
805,18,poor
806,19,average
807,50,excellent
808,59,excellent
809,20,poor
810,35,good
811,77,average
812,85,average
813,60,excellent
814,76,good
815,77,excellent
816,61,excellent
817,60,poor
818,44,average
819,40,poor
820,77,average
821,45,good
822,65,excellent
823,73,average
824,74,good
825,51,poor
826,82,excellent
827,36,excellent
828,36,excellent
829,71,poor
830,66,good
831,74,average
832,25,poor
833,54,average
834,25,average
835,37,excellent
836,61,good
837,32,excellent
838,49,poor
839,78,poor
840,39,poor
841,68,excellent
842,50,excellent
843,62,average
844,68,excellent
845,38,average
846,74,good
847,77,good
848,29,excellent
849,64,poor
850,48,good
851,18,good
852,65,poor
853,32,good
854,25,average
855,42,good
856,76,excellent
857,63,poor
858,77,average
859,19,good
860,75,average
861,81,excellent
862,20,poor
863,65,poor
864,23,excellent
865,63,poor
866,70,average
867,79,average
868,79,good
869,40,good
870,76,poor
871,39,poor
872,40,good
873,58,poor
874,75,average
875,85,poor
876,76,good
877,42,good
878,24,average
879,81,average
880,68,poor
881,58,good
882,81,poor
883,77,average
884,62,average
885,81,good
886,37,average
887,58,poor
888,79,good
889,55,poor
890,35,average
891,51,excellent
892,59,excellent
893,79,average
894,41,average
895,53,excellent
896,18,excellent
897,77,poor
898,49,average
899,45,average
900,39,average
901,26,average
902,20,average
903,33,good
904,74,good
905,75,poor
906,23,average
907,45,average
908,67,excellent
909,67,average
910,57,average
911,49,good
912,62,excellent
913,81,excellent
914,23,good
915,85,poor
916,37,excellent
917,42,good
918,85,average
919,44,excellent
920,45,good
921,80,excellent
922,42,poor
923,50,good
924,53,average
925,83,good
926,33,good
927,27,excellent
928,80,average
929,51,excellent
930,72,average
931,46,average
932,49,excellent
933,32,excellent
934,22,good
935,47,poor
936,78,poor
937,35,average
938,47,poor
939,75,poor
940,54,good
941,83,good
942,41,good
943,39,average
944,20,poor
945,63,excellent
946,43,excellent
947,60,good
948,73,excellent
949,71,poor
950,66,average
951,64,average
952,80,poor
953,84,excellent
954,80,excellent
955,80,average
956,28,average
957,54,average
958,56,poor
959,81,poor
960,29,poor
961,71,excellent
962,58,poor
963,31,excellent
964,35,poor
965,74,average
966,62,excellent
967,69,average
968,33,average
969,68,excellent
970,70,poor
971,45,good
972,54,excellent
973,71,good
974,78,average
975,52,excellent
976,85,good
977,53,poor
978,32,excellent
979,83,excellent
980,55,excellent
981,33,poor
982,72,good
983,66,poor
984,77,average
985,44,poor
986,35,poor
987,44,average
988,34,average
989,85,good
990,58,poor
991,53,excellent
992,35,poor
993,44,good
994,23,average
995,49,poor
996,85,average
997,45,good
998,43,poor
999,26,good
1000,64,excellent
